time,step-size,{control}.c.valve,{tank}.t.level
0.0,0.0,false,0.0
0.1,0.1,false,0.1
0.22,0.12,false,0.22
0.33999999999999997,0.12,false,0.33999999999999997
0.45999999999999996,0.12,false,0.45999999999999996
0.58,0.12,false,0.58
0.6399999999999999,0.06,false,0.6399999999999999
0.7,0.06,false,0.7
0.76,0.06,false,0.76
0.8200000000000001,0.06,false,0.8200000000000001
0.8500000000000001,0.03,false,0.8500000000000001
0.8800000000000001,0.03,false,0.8800000000000001
0.9100000000000001,0.03,false,0.9100000000000001
0.9250000000000002,0.015,false,0.9250000000000002
0.9400000000000002,0.015,false,0.9400000000000002
0.9550000000000002,0.015,false,0.9550000000000002
0.9625000000000001,0.0075,false,0.9625000000000001
0.9700000000000001,0.0075,false,0.9700000000000001
0.9775,0.0075,false,0.9775
0.9812500000000001,0.00375,false,0.9812500000000001
0.9850000000000001,0.00375,false,0.9850000000000001
0.9887500000000001,0.00375,false,0.9887500000000001
0.9906250000000001,0.001875,false,0.9906250000000001
0.9925,0.001875,false,0.9925
0.994375,0.001875,false,0.994375
0.99625,0.001875,false,0.99625
0.9984999999999999,0.00225,false,0.9984999999999999
1.0011999999999999,0.0026999999999999997,false,1.0011999999999999
1.0044399999999998,0.0032399999999999994,false,1.0044399999999998
1.0141599999999997,0.009719999999999998,false,1.0141599999999997
1.0433199999999998,0.02915999999999999,false,1.0433199999999998
1.1307999999999998,0.08747999999999997,false,1.1307999999999998
1.2357759999999998,0.10497599999999997,false,1.2357759999999998
1.3617471999999997,0.12597119999999995,false,1.3617471999999997
1.5129126399999997,0.15116543999999993,false,1.5129126399999997
1.6943111679999996,0.18139852799999992,false,1.6943111679999996
1.7850104319999995,0.09069926399999996,false,1.7850104319999995
1.8757096959999995,0.09069926399999996,false,1.8757096959999995
1.9210593279999995,0.04534963199999998,false,1.9210593279999995
1.9437341439999996,0.02267481599999999,false,1.9437341439999996
1.9664089599999997,0.02267481599999999,false,1.9664089599999997
1.9777463679999996,0.011337407999999995,false,1.9777463679999996
1.9890837759999995,0.011337407999999995,false,1.9890837759999995
1.9999999951348988,0.010916219134899248,false,1.9999999951348988
2.013099458096778,0.013099462961879096,false,2.013099458096778
2.0196491895777173,0.006549731480939548,true,2.0196491895777173
2.039298384020536,0.019649194442818645,true,1.999884590373718
2.062877417351918,0.023579033331382372,true,1.9724187607190558
2.091172257349577,0.028294839997658847,true,1.9403781212718492
2.125126065346768,0.03395380799719062,true,1.903211221965777
2.1658706349433965,0.04074456959662874,true,1.8603891095973306
2.214764118459351,0.04889348351595449,true,1.8114508453633138
2.2734362986784964,0.05867218021914539,true,1.7560657828166646
2.343842914941471,0.07040661626297447,true,1.6941138679745895
2.4283308544570406,0.08448793951556936,true,1.625782392453873
2.5297163818757236,0.10138552741868323,true,1.5516726888566372
2.6513790147781435,0.12166263290241987,true,1.4729028138952063
2.7730416476805635,0.12166263290241987,true,1.4039157948942453
2.8947042805829835,0.12166263290241987,true,1.3434966461655058
3.0163669134854034,0.12166263290241987,true,1.2905812776516885
3.1380295463878234,0.12166263290241987,true,1.2442377543835235
3.2596921792902434,0.12166263290241987,true,1.2036498834260312
3.3813548121926633,0.12166263290241987,true,1.168102839250525
3.5030174450950833,0.12166263290241987,true,1.1369705743692575
3.6246800779975032,0.12166263290241987,true,1.1097047935113011
3.746342710899923,0.12166263290241987,true,1.0858252971550502
3.807174027351133,0.060831316451209934,true,1.0750218598503258
3.880171607092585,0.07299757974145192,true,1.0629686650170231
3.9531691868340366,0.07299757974145192,true,1.0518373490505355
